"Error during server connection test.","Error during server connection test."
"Pending Transfer Bitcoin","Pending Transfer Bitcoin"
"Pending Confirmed Transfer","Pending Confirmed Transfer"
"We can\'t retrieve a rate from %1.","We can\'t retrieve a rate from %1."
"We can\'t retrieve a correct response from %1.","We can\'t retrieve a correct response from %1."
"Bitcoin","Bitcoin"
"Host","Host"
"Port","Port"
"Ssl","Ssl"
"User","User"
"Password","Password"
"Test connection","Test connection"
"Confirmation","Confirmation"
"Expire days","Expire days"
"Rate Import Service","Rate Import Service"
"Connection Failed","Connection Failed"
"Connection Successful","Connection Successful"